"","x"
"491","Cyto"
"492","Cyto"
"493","Cyto"
"494","Cyto"
"495","Cyto"
"496","Cyto"
"497","Cyto"
"498","Cyto"
"499","Cyto"
"500","Cyto"
"501","Cyto"
"502","Cyto"
"503","Cyto"
"504","Cyto"
"505","Cyto"
"506","Cyto"
"507","Cyto"
"508","Cyto"
"509","Cyto"
"510","Cyto"
"511","Cyto"
"512","Cyto"
"513","Cyto"
"514","Cyto"
"515","Cyto"
"516","Cyto"
"517","Cyto"
"518","Cyto"
"519","Cyto"
"520","Cyto"
"521","Cyto"
"522","Cyto"
"523","Cyto"
"524","Cyto"
"525","Cyto"
"526","Cyto"
"527","Cyto"
"528","Cyto"
"529","Cyto"
"530","Cyto"
"531","Cyto"
"532","Cyto"
"533","Cyto"
"534","Cyto"
"535","Cyto"
"536","Cyto"
"537","Cyto"
"538","Cyto"
"539","Cyto"
"540","Cyto"
"541","Cyto"
"542","Cyto"
"543","Cyto"
"544","Cyto"
"545","Cyto"
"546","Cyto"
"547","Cyto"
"548","Cyto"
"549","Cyto"
"550","Cyto"
"551","Cyto"
"552","Cyto"
"553","Cyto"
"554","Cyto"
"555","Cyto"
"556","Cyto"
"557","Cyto"
"558","Cyto"
"559","Cyto"
"560","Cyto"
"561","Cyto"
"562","Cyto"
"563","Cyto"
"564","Cyto"
"565","Cyto"
"566","Cyto"
"567","Cyto"
"568","Cyto"
"569","Cyto"
"570","Cyto"
"571","Cyto"
"572","Cyto"
"573","Cyto"
"574","Cyto"
"575","Cyto"
"576","Cyto"
"577","Cyto"
"578","Cyto"
"579","Cyto"
"580","Cyto"
"581","Cyto"
"582","Cyto"
"583","Cyto"
"584","Cyto"
"585","Cyto"
"586","Cyto"
"587","Cyto"
"588","Cyto"
"589","Cyto"
"590","Cyto"
"591","Cyto"
"592","Cyto"
"593","Cyto"
"594","Cyto"
"595","Cyto"
"596","Cyto"
"597","Cyto"
"598","Cyto"
"599","Cyto"
"600","Cyto"
"601","Cyto"
"602","Cyto"
"603","Cyto"
"604","Cyto"
"605","Cyto"
"606","Cyto"
"607","Cyto"
"608","Cyto"
"609","Cyto"
"610","Cyto"
"611","Cyto"
"612","Cyto"
"613","Cyto"
"614","Cyto"
"615","Cyto"
"616","Cyto"
"617","Cyto"
"618","Cyto"
"619","Cyto"
"620","Cyto"
"621","Cyto"
"622","Cyto"
"623","Cyto"
"624","Cyto"
"625","Cyto"
"626","Cyto"
"627","Cyto"
"628","Cyto"
"629","Cyto"
"630","Cyto"
"631","Cyto"
"632","Cyto"
"633","Cyto"
"634","Cyto"
"635","Cyto"
"636","Cyto"
"637","Cyto"
"638","Cyto"
"639","Cyto"
"640","Cyto"
"641","Cyto"
"642","Cyto"
"643","Cyto"
"644","Cyto"
"645","Cyto"
"646","Cyto"
"647","Cyto"
"648","Cyto"
"649","Cyto"
"650","Cyto"
"651","Cyto"
"652","Cyto"
"653","Cyto"
"654","Cyto"
"655","Cyto"
"656","Cyto"
"657","Cyto"
"658","Cyto"
"659","Cyto"
"660","Cyto"
"661","Cyto"
"662","Cyto"
"663","Cyto"
"664","Cyto"
"665","Cyto"
"666","Cyto"
"667","Cyto"
"668","Cyto"
"669","Cyto"
"670","Cyto"
"671","Cyto"
"672","Cyto"
"673","Cyto"
"674","Cyto"
"675","Cyto"
"676","Cyto"
"677","Cyto"
"678","Cyto"
"679","Cyto"
"680","Cyto"
"681","Cyto"
"682","Cyto"
"683","Cyto"
"684","Cyto"
"685","Cyto"
"686","Cyto"
"687","Cyto"
"688","Cyto"
"689","Cyto"
"690","Cyto"
"691","Cyto"
"692","Cyto"
"693","Cyto"
"694","Cyto"
"695","Cyto"
"696","Cyto"
"697","Cyto"
"698","Cyto"
"699","Cyto"
"700","Cyto"
"701","Cyto"
"702","Cyto"
"703","Cyto"
"704","Cyto"
"705","Cyto"
"706","Cyto"
"707","Cyto"
"708","Cyto"
"709","Cyto"
"710","Cyto"
"711","Cyto"
"712","Cyto"
"713","Cyto"
"714","Cyto"
"715","Cyto"
"716","Cyto"
"717","Cyto"
"718","Cyto"
"719","Cyto"
"720","Cyto"
"721","Cyto"
"722","Cyto"
"723","Cyto"
"724","Cyto"
"725","Cyto"
"726","Cyto"
"727","Cyto"
"728","Cyto"
"729","Cyto"
"730","Cyto"
"731","Cyto"
"732","Cyto"
"733","Cyto"
"734","Cyto"
"735","Cyto"
"736","Cyto"
"737","Cyto"
"738","Cyto"
"739","Cyto"
"740","Cyto"
"741","Cyto"
"742","Cyto"
"743","Cyto"
"744","Cyto"
"745","Cyto"
"746","Cyto"
"747","Cyto"
"748","Cyto"
"749","Cyto"
"750","Cyto"
"751","Cyto"
"752","Cyto"
"753","Cyto"
"754","Cyto"
"755","Cyto"
"756","Cyto"
"757","Cyto"
"758","Cyto"
"759","Cyto"
"760","Cyto"
"761","Cyto"
"762","Cyto"
"763","Cyto"
"764","Cyto"
"765","Cyto"
"766","Cyto"
"767","Cyto"
"768","Cyto"
"769","Cyto"
"770","Cyto"
"771","Cyto"
"772","Cyto"
"773","Cyto"
"774","Cyto"
"775","Cyto"
"776","Cyto"
"777","Cyto"
"778","Cyto"
"779","Cyto"
"780","Cyto"
"781","Cyto"
"782","Cyto"
"783","Cyto"
"784","Cyto"
"785","Cyto"
"786","Cyto"
"787","Cyto"
"788","Cyto"
"789","Cyto"
"790","Cyto"
"791","Cyto"
"792","Cyto"
"793","Cyto"
"794","Cyto"
"795","Cyto"
"796","Cyto"
"797","Cyto"
"798","Cyto"
"799","Cyto"
"800","Cyto"
"801","Cyto"
"802","Cyto"
"803","Cyto"
"804","Cyto"
"805","Cyto"
"806","Cyto"
"807","Cyto"
"808","Cyto"
"809","Cyto"
"810","Cyto"
"811","Cyto"
"812","Cyto"
"813","Cyto"
"814","Cyto"
"815","Cyto"
"816","Cyto"
"817","Cyto"
"818","Cyto"
"819","Cyto"
"820","Cyto"
"821","Cyto"
"822","Cyto"
"823","Cyto"
"824","Cyto"
"825","Cyto"
"826","Cyto"
"827","Cyto"
"828","Cyto"
"829","Cyto"
"830","Cyto"
"831","Cyto"
"832","Cyto"
"833","Cyto"
"834","Cyto"
"835","Cyto"
"836","Cyto"
"837","Cyto"
"838","Cyto"
"839","Cyto"
"840","Cyto"
"841","Cyto"
"842","Cyto"
"843","Cyto"
"844","Cyto"
"845","Cyto"
"846","Cyto"
"847","Cyto"
"848","Cyto"
"849","Cyto"
"850","Cyto"
"851","Cyto"
"852","Cyto"
"853","Cyto"
"854","Cyto"
"855","Cyto"
"856","Cyto"
"857","Cyto"
"858","Cyto"
"859","Cyto"
"860","Cyto"
"861","Cyto"
"862","Cyto"
"863","Cyto"
"864","Cyto"
"865","Cyto"
"866","Cyto"
"867","Cyto"
"868","Cyto"
"869","Cyto"
"870","Cyto"
"871","Cyto"
"872","Cyto"
"873","Cyto"
"874","Cyto"
"875","Cyto"
"876","Cyto"
"877","Cyto"
"878","Cyto"
"879","Cyto"
"880","Cyto"
"881","Cyto"
"882","Cyto"
"883","Cyto"
"884","Cyto"
"885","Cyto"
"886","Cyto"
"887","Cyto"
"888","Cyto"
"889","Cyto"
"890","Cyto"
"891","Cyto"
"892","Cyto"
"893","Cyto"
"894","Cyto"
"895","Cyto"
"896","Cyto"
"897","Cyto"
"898","Cyto"
"899","Cyto"
"900","Cyto"
"901","Cyto"
"902","Cyto"
"903","Cyto"
"904","Cyto"
"905","Cyto"
"906","Cyto"
"907","Cyto"
"908","Cyto"
"909","Cyto"
"910","Cyto"
"911","Cyto"
"912","Cyto"
"913","Cyto"
"914","Cyto"
"915","Cyto"
"916","Cyto"
"917","Cyto"
"918","Cyto"
"919","Cyto"
"920","Cyto"
"921","Cyto"
"922","Cyto"
"923","Cyto"
"924","Cyto"
"925","Cyto"
"926","Cyto"
"927","Cyto"
"928","Cyto"
"929","Cyto"
"930","Cyto"
"931","Cyto"
"932","Cyto"
"933","Cyto"
"934","Cyto"
"935","Cyto"
"936","Cyto"
"937","Cyto"
"938","Cyto"
"939","Cyto"
"940","Cyto"
"941","Cyto"
"942","Cyto"
"943","Cyto"
"944","Cyto"
"945","Cyto"
"946","Cyto"
"947","Cyto"
"948","Cyto"
"949","Cyto"
"950","Cyto"
"951","Cyto"
"952","Cyto"
"953","Cyto"
"954","Cyto"
"955","Cyto"
"956","Cyto"
"957","Cyto"
"958","Cyto"
"959","Cyto"
"960","Cyto"
"961","Cyto"
"962","Cyto"
"963","Cyto"
"964","Cyto"
"965","Cyto"
"966","Cyto"
"967","Cyto"
"968","Cyto"
"969","Cyto"
"970","Cyto"
"971","Cyto"
"972","Cyto"
"973","Cyto"
"974","Cyto"
"975","Cyto"
"976","Cyto"
"977","Cyto"
"978","Cyto"
"979","Cyto"
"980","Cyto"
"981","Cyto"
"982","Cyto"
"983","Cyto"
"984","Cyto"
"985","Cyto"
"986","Cyto"
"987","Cyto"
"988","Cyto"
"989","Cyto"
"990","Cyto"
"991","Cyto"
"992","Cyto"
"993","Cyto"
"994","Cyto"
"995","Cyto"
"996","Cyto"
"997","Cyto"
"998","Cyto"
"999","Cyto"
"1000","Cyto"
"1001","Cyto"
"1002","Cyto"
"1003","Cyto"
"1004","Cyto"
"1005","Cyto"
"1006","Cyto"
"1007","Cyto"
"1008","Cyto"
"1009","Cyto"
"1010","Cyto"
"1011","Cyto"
"1012","Cyto"
"1013","Cyto"
"1014","Cyto"
"1015","Cyto"
"1016","Cyto"
"1017","Cyto"
"1018","Cyto"
"1019","Cyto"
"1020","Cyto"
"1021","Cyto"
"1022","Cyto"
"1023","Cyto"
"1024","Cyto"
"1025","Cyto"
"1026","Cyto"
"1027","Cyto"
"1028","Cyto"
"1029","Cyto"
"1030","Cyto"
"1031","Cyto"
"1032","Cyto"
"1033","Cyto"
"1034","Cyto"
"1035","Cyto"
"1036","Cyto"
"1037","Cyto"
"1038","Cyto"
"1039","Cyto"
"1040","Cyto"
"1041","Cyto"
"1042","Cyto"
"1043","Cyto"
"1044","Cyto"
"1045","Cyto"
"1046","Cyto"
"1047","Cyto"
"1048","Cyto"
"1049","Cyto"
"1050","Cyto"
"1051","Cyto"
"1052","Cyto"
"1053","Cyto"
"1054","Cyto"
"1055","Cyto"
"1056","Cyto"
"1057","Cyto"
"1058","Cyto"
"1059","Cyto"
"1060","Cyto"
"1061","Cyto"
"1062","Cyto"
"1063","Cyto"
"1064","Cyto"
"1065","Cyto"
"1066","Cyto"
"1067","Cyto"
"1068","Cyto"
"1069","Cyto"
"1070","Cyto"
"1071","Cyto"
"1072","Cyto"
"1073","Cyto"
"1074","Cyto"
"1075","Cyto"
"1076","Cyto"
"1077","Cyto"
"1078","Cyto"
"1079","Cyto"
"1080","Cyto"
"1081","Cyto"
"1082","Cyto"
"1083","Cyto"
"1084","Cyto"
"1085","Cyto"
"1086","Cyto"
"1087","Cyto"
"1088","Cyto"
"1089","Cyto"
"1090","Cyto"
"1091","Cyto"
"1092","Cyto"
"1093","Cyto"
"1094","Cyto"
"1095","Cyto"
"1096","Cyto"
"1097","Cyto"
"1098","Cyto"
"1099","Cyto"
"1100","Cyto"
"1101","Cyto"
"1102","Cyto"
"1103","Cyto"
"1104","Cyto"
"1105","Cyto"
"1106","Cyto"
"1107","Cyto"
"1108","Cyto"
"1109","Cyto"
"1110","Cyto"
"1111","Cyto"
"1112","Cyto"
"1113","Cyto"
"1114","Cyto"
"1115","Cyto"
"1116","Cyto"
"1117","Cyto"
"1118","Cyto"
"1119","Cyto"
"1120","Cyto"
"1121","Cyto"
"1122","Cyto"
"1123","Cyto"
"1124","Cyto"
"1125","Cyto"
"1126","Cyto"
"1127","Cyto"
"1128","Cyto"
"1129","Cyto"
"1130","Cyto"
"1131","Cyto"
"1132","Cyto"
"1133","Cyto"
"1134","Cyto"
"1135","Cyto"
"1136","Cyto"
"1137","Cyto"
"1138","Cyto"
"1139","Cyto"
"1140","Cyto"
"1141","Cyto"
"1142","Cyto"
"1143","Cyto"
"1144","Cyto"
"1145","Cyto"
"1146","Cyto"
"1147","Cyto"
"1148","Cyto"
"1149","Cyto"
"1150","Cyto"
"1151","Cyto"
"1152","Cyto"
"1153","Cyto"
"1154","Cyto"
"1155","Cyto"
"1156","Cyto"
"1157","Cyto"
"1158","Cyto"
"1159","Cyto"
"1160","Cyto"
"1161","Cyto"
"1162","Cyto"
"1163","Cyto"
"1164","Cyto"
"1165","Cyto"
"1166","Cyto"
"1167","Cyto"
"1168","Cyto"
"1169","Cyto"
"1170","Cyto"
"1171","Cyto"
"1172","Cyto"
"1173","Cyto"
"1174","Cyto"
"1175","Cyto"
"1176","Cyto"
"1177","Cyto"
"1178","Cyto"
"1179","Cyto"
"1180","Cyto"
"1181","Cyto"
"1182","Cyto"
"1183","Cyto"
"1184","Cyto"
"1185","Cyto"
"1186","Cyto"
"1187","Cyto"
"1188","Cyto"
"1189","Cyto"
"1190","Cyto"
"1191","Cyto"
"1192","Cyto"
"1193","Cyto"
"1194","Cyto"
"1195","Cyto"
"1196","Cyto"
"1197","Cyto"
"1198","Cyto"
"1199","Cyto"
"1200","Cyto"
"1201","Cyto"
"1202","Cyto"
"1203","Cyto"
"1204","Cyto"
"1205","Cyto"
"1206","Cyto"
"1207","Cyto"
"1208","Cyto"
"1209","Cyto"
"1210","Cyto"
"1211","Cyto"
"1212","Cyto"
"1213","Cyto"
"1214","Cyto"
"1215","Cyto"
"1216","Cyto"
"1217","Cyto"
"1218","Cyto"
"1219","Cyto"
"1220","Cyto"
"1221","Cyto"
"1222","Cyto"
"1223","Cyto"
"1224","Cyto"
"1225","Cyto"
"1226","Cyto"
"1227","Cyto"
"1228","Cyto"
"1229","Cyto"
"1230","Cyto"
"1231","Cyto"
"1232","Cyto"
"1233","Cyto"
"1234","Cyto"
"1235","Cyto"
"1236","Cyto"
"1237","Cyto"
"1238","Cyto"
"1239","Cyto"
"1240","Cyto"
"1241","Cyto"
"1242","Cyto"
"1243","Cyto"
"1244","Cyto"
"1245","Cyto"
"1246","Cyto"
"1247","Cyto"
"1248","Cyto"
"1249","Cyto"
"1250","Cyto"
"1251","Cyto"
"1252","Cyto"
"1253","Cyto"
"1254","Cyto"
"1255","Cyto"
"1256","Cyto"
"1257","Cyto"
"1258","Cyto"
"1259","Cyto"
"1260","Cyto"
"1261","Cyto"
"1262","Cyto"
"1263","Cyto"
"1264","Cyto"
"1265","Cyto"
"1266","Cyto"
"1267","Cyto"
"1268","Cyto"
"1269","Cyto"
"1270","Cyto"
"1271","Cyto"
"1272","Cyto"
"1273","Cyto"
"1274","Cyto"
"1275","Cyto"
"1276","Cyto"
"1277","Cyto"
"1278","Cyto"
"1279","Cyto"
"1280","Cyto"
"1281","Cyto"
"1282","Cyto"
"1283","Cyto"
"1284","Cyto"
"1285","Cyto"
"1286","Cyto"
"1287","Cyto"
"1288","Cyto"
"1289","Cyto"
"1290","Cyto"
"1291","Cyto"
"1292","Cyto"
"1293","Cyto"
"1294","Cyto"
"1295","Cyto"
"1296","Cyto"
"1297","Cyto"
"1298","Cyto"
"1299","Cyto"
"1300","Cyto"
"1301","Cyto"
"1302","Cyto"
"1303","Cyto"
"1304","Cyto"
"1305","Cyto"
"1306","Cyto"
"1307","Cyto"
"1308","Cyto"
"1309","Cyto"
"1310","Cyto"
"1311","Cyto"
"1312","Cyto"
"1313","Cyto"
"1314","Cyto"
"1315","Cyto"
"1316","Cyto"
"1317","Cyto"
"1318","Cyto"
"1319","Cyto"
"1320","Cyto"
"1321","Cyto"
"1322","Cyto"
"1323","Cyto"
"1324","Cyto"
"1325","Cyto"
"1326","Cyto"
"1327","Cyto"
"1328","Cyto"
"1329","Cyto"
"1330","Cyto"
"1331","Cyto"
"1332","Cyto"
"1333","Cyto"
"1334","Cyto"
"1335","Cyto"
"1336","Cyto"
"1337","Cyto"
"1338","Cyto"
"1339","Cyto"
"1340","Cyto"
"1341","Cyto"
"1342","Cyto"
"1343","Cyto"
"1344","Cyto"
"1345","Cyto"
"1346","Cyto"
"1347","Cyto"
"1348","Cyto"
"1349","Cyto"
"1350","Cyto"
"1351","Cyto"
"1352","Cyto"
"1353","Cyto"
"1354","Cyto"
"1355","Cyto"
"1356","Cyto"
"1357","Cyto"
"1358","Cyto"
"1359","Cyto"
"1360","Cyto"
"1361","Cyto"
"1362","Cyto"
"1363","Cyto"
"1364","Cyto"
"1365","Cyto"
"1366","Cyto"
"1367","Cyto"
"1368","Cyto"
"1369","Cyto"
"1370","Cyto"
"1371","Cyto"
"1372","Cyto"
"1373","Cyto"
"1374","Cyto"
"1375","Cyto"
"1376","Cyto"
"1377","Cyto"
"1378","Cyto"
"1379","Cyto"
"1380","Cyto"
"1381","Cyto"
"1382","Cyto"
"1383","Cyto"
"1384","Cyto"
"1385","Cyto"
"1386","Cyto"
"1387","Cyto"
"1388","Cyto"
"1389","Cyto"
"1390","Cyto"
"1391","Cyto"
"1392","Cyto"
"1393","Cyto"
"1394","Cyto"
"1395","Cyto"
"1396","Cyto"
"1397","Cyto"
"1398","Cyto"
"1399","Cyto"
"1400","Cyto"
"1401","Cyto"
"1402","Cyto"
"1403","Cyto"
"1404","Cyto"
"1405","Cyto"
"1406","Cyto"
"1407","Cyto"
"1408","Cyto"
"1409","Cyto"
"1410","Cyto"
"1411","Cyto"
"1412","Cyto"
"1413","Cyto"
"1414","Cyto"
"1415","Cyto"
"1416","Cyto"
"1417","Cyto"
"1418","Cyto"
"1419","Cyto"
"1420","Cyto"
"1421","Cyto"
"1422","Cyto"
"1423","Cyto"
"1424","Cyto"
"1425","Cyto"
"1426","Cyto"
"1427","Cyto"
"1428","Cyto"
"1429","Cyto"
"1430","Cyto"
"1431","Cyto"
"1432","Cyto"
"1433","Cyto"
"1434","Cyto"
"1435","Cyto"
"1436","Cyto"
"1437","Cyto"
"1438","Cyto"
"1439","Cyto"
"1440","Cyto"
"1441","Cyto"
"1442","Cyto"
"1443","Cyto"
"1444","Cyto"
"1445","Cyto"
"1446","Cyto"
"1447","Cyto"
"1448","Cyto"
"1449","Cyto"
"1450","Cyto"
"1451","Cyto"
"1452","Cyto"
"1453","Cyto"
"1454","Cyto"
"1455","Cyto"
"1456","Cyto"
"1457","Cyto"
"1458","Cyto"
"1459","Cyto"
"1460","Cyto"
"1461","Cyto"
"1462","Cyto"
"1463","Cyto"
"1464","Cyto"
"1465","Cyto"
"1466","Cyto"
"1467","Cyto"
"1468","Cyto"
"1469","Cyto"
"1470","Cyto"
"1471","Cyto"
"1472","Cyto"
"1473","Cyto"
"1474","Cyto"
"1475","Cyto"
"1476","Cyto"
"1477","Cyto"
"1478","Cyto"
"1479","Cyto"
"1480","Cyto"
"1481","Cyto"
"1482","Cyto"
"1483","Cyto"
"1484","Cyto"
"1485","Cyto"
"1486","Cyto"
"1487","Cyto"
"1488","Cyto"
"1489","Cyto"
"1490","Cyto"
"1491","Cyto"
"1492","Cyto"
"1493","Cyto"
"1494","Cyto"
"1495","Cyto"
"1496","Cyto"
"1497","Cyto"
"1498","Cyto"
